Year,Series,Institucion,Territorio,Units,Value
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.01
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.01
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.09
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.07
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.05
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.01
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.06
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.03
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.02
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.64
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.63
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.69
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.63
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.64
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.63
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.63
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.57
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.6
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.58
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.55
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.58
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.58
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.61
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.6
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.58
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.57
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.62
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.57
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.56
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.57
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.67
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.68
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.72
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.69
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.67
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.66
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.68
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.69
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.62
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.61
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.68
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.62
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.62
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.62
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.6
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.63
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.6
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.6
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.6
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.63
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.61
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES212,RO,0.57
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.5
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.49
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.54
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.53
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.57
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.56
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.55
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.53
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.57
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.57
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.56
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.51
