Year,Habilidad_IT,Edad,Sexo,Territorio,Units,Value
2019,ICTPRVCY,Y16T24,M,ES213,PT,32.6
2021,ICTPRVCY,Y16T24,M,ES213,PT,55.2
2023,ICTPRVCY,Y16T24,M,ES213,PT,51.2
2024,ICTPRVCY,Y16T24,M,ES213,PT,35.8
2022,ICTPRVCY,Y16T24,M,ES212,PT,33.2
2021,ICTPRVCY,Y16T24,M,ES212,PT,55.5
2024,ICTPRVCY,Y16T24,M,ES212,PT,30.9
2023,ICTPRVCY,Y16T24,M,ES212,PT,46.3
2019,ICTPRVCY,Y16T24,M,ES212,PT,32.2
2020,ICTPRVCY,Y16T24,M,ES212,PT,47.9
2023,ICTPRVCY,Y25T74,,,PT,31.8
2022,ICTPRVCY,Y25T74,,,PT,21.2
2021,ICTPRVCY,Y25T74,,,PT,25.4
2024,ICTPRVCY,Y25T74,,,PT,19.9
2020,ICTPRVCY,Y25T74,,,PT,26.1
2019,ICTPRVCY,Y25T74,,,PT,14.8
2022,ICTPRVCY,Y25T74,,ES211,PT,21.6
2021,ICTPRVCY,Y25T74,,ES211,PT,25.2
2020,ICTPRVCY,Y25T74,,ES211,PT,23.8
2023,ICTPRVCY,Y25T74,,ES211,PT,30.6
2019,ICTPRVCY,Y25T74,,ES211,PT,15.2
2024,ICTPRVCY,Y25T74,,ES211,PT,22.4
2024,ICTPRVCY,Y25T74,,ES213,PT,20.6
2019,ICTPRVCY,Y25T74,,ES213,PT,15.5
2022,ICTPRVCY,Y25T74,,ES213,PT,20.7
2020,ICTPRVCY,Y25T74,,ES213,PT,25.7
2023,ICTPRVCY,Y25T74,,ES213,PT,33.0
2021,ICTPRVCY,Y25T74,,ES213,PT,25.5
2023,ICTPRVCY,Y25T74,,ES212,PT,30.5
2019,ICTPRVCY,Y25T74,,ES212,PT,13.3
2022,ICTPRVCY,Y25T74,,ES212,PT,22.0
2024,ICTPRVCY,Y25T74,,ES212,PT,17.7
2021,ICTPRVCY,Y25T74,,ES212,PT,25.3
2020,ICTPRVCY,Y25T74,,ES212,PT,27.9
2024,ICTPRVCY,Y25T74,F,,PT,18.4
2019,ICTPRVCY,Y25T74,F,,PT,10.6
2020,ICTPRVCY,Y25T74,F,,PT,23.0
2021,ICTPRVCY,Y25T74,F,,PT,21.7
2022,ICTPRVCY,Y25T74,F,,PT,17.7
2023,ICTPRVCY,Y25T74,F,,PT,27.5
2020,ICTPRVCY,Y25T74,F,ES211,PT,21.1
2019,ICTPRVCY,Y25T74,F,ES211,PT,7.9
2024,ICTPRVCY,Y25T74,F,ES211,PT,23.1
2021,ICTPRVCY,Y25T74,F,ES211,PT,22.4
2023,ICTPRVCY,Y25T74,F,ES211,PT,24.2
2022,ICTPRVCY,Y25T74,F,ES211,PT,17.1
2023,ICTPRVCY,Y25T74,F,ES213,PT,29.1
2019,ICTPRVCY,Y25T74,F,ES213,PT,12.5
2021,ICTPRVCY,Y25T74,F,ES213,PT,20.3
2024,ICTPRVCY,Y25T74,F,ES213,PT,19.4
2020,ICTPRVCY,Y25T74,F,ES213,PT,22.5
2022,ICTPRVCY,Y25T74,F,ES213,PT,17.1
2021,ICTPRVCY,Y25T74,F,ES212,PT,23.6
2022,ICTPRVCY,Y25T74,F,ES212,PT,19.0
2024,ICTPRVCY,Y25T74,F,ES212,PT,14.6
2019,ICTPRVCY,Y25T74,F,ES212,PT,8.6
2023,ICTPRVCY,Y25T74,F,ES212,PT,26.4
2020,ICTPRVCY,Y25T74,F,ES212,PT,24.8
2023,ICTPRVCY,Y25T74,M,,PT,36.4
2022,ICTPRVCY,Y25T74,M,,PT,24.9
2021,ICTPRVCY,Y25T74,M,,PT,29.2
2019,ICTPRVCY,Y25T74,M,,PT,19.1
2020,ICTPRVCY,Y25T74,M,,PT,29.3
2024,ICTPRVCY,Y25T74,M,,PT,21.5
2021,ICTPRVCY,Y25T74,M,ES211,PT,28.0
2024,ICTPRVCY,Y25T74,M,ES211,PT,21.7
2022,ICTPRVCY,Y25T74,M,ES211,PT,26.2
2023,ICTPRVCY,Y25T74,M,ES211,PT,37.1
2020,ICTPRVCY,Y25T74,M,ES211,PT,26.6
2019,ICTPRVCY,Y25T74,M,ES211,PT,22.7
2022,ICTPRVCY,Y25T74,M,ES213,PT,24.5
2019,ICTPRVCY,Y25T74,M,ES213,PT,18.7
2021,ICTPRVCY,Y25T74,M,ES213,PT,30.9
2024,ICTPRVCY,Y25T74,M,ES213,PT,21.9
2020,ICTPRVCY,Y25T74,M,ES213,PT,29.0
2023,ICTPRVCY,Y25T74,M,ES213,PT,37.1
2019,ICTPRVCY,Y25T74,M,ES212,PT,18.1
2023,ICTPRVCY,Y25T74,M,ES212,PT,34.7
2020,ICTPRVCY,Y25T74,M,ES212,PT,31.1
2021,ICTPRVCY,Y25T74,M,ES212,PT,27.1
2024,ICTPRVCY,Y25T74,M,ES212,PT,20.9
2022,ICTPRVCY,Y25T74,M,ES212,PT,25.0
2024,ICTCPT,,,,PT,51.0
2023,ICTCPT,,,,PT,56.3
2019,ICTCPT,,,,PT,55.4
2020,ICTCPT,,,,PT,55.4
2021,ICTCPT,,,,PT,61.5
2022,ICTCPT,,,,PT,57.2
2019,ICTCPT,,,ES211,PT,55.8
2024,ICTCPT,,,ES211,PT,52.0
2020,ICTCPT,,,ES211,PT,54.0
2021,ICTCPT,,,ES211,PT,61.9
2023,ICTCPT,,,ES211,PT,54.8
2022,ICTCPT,,,ES211,PT,56.7
2023,ICTCPT,,,ES213,PT,56.0
2019,ICTCPT,,,ES213,PT,55.8
2024,ICTCPT,,,ES213,PT,51.2
2022,ICTCPT,,,ES213,PT,56.7
2020,ICTCPT,,,ES213,PT,54.3
2021,ICTCPT,,,ES213,PT,61.6
2019,ICTCPT,,,ES212,PT,54.5
2020,ICTCPT,,,ES212,PT,57.7
2024,ICTCPT,,,ES212,PT,50.3
2022,ICTCPT,,,ES212,PT,58.3
2021,ICTCPT,,,ES212,PT,61.0
2023,ICTCPT,,,ES212,PT,57.3
2024,ICTCPT,,F,,PT,49.7
2022,ICTCPT,,F,,PT,56.5
2020,ICTCPT,,F,,PT,53.5
2023,ICTCPT,,F,,PT,55.8
2021,ICTCPT,,F,,PT,60.2
2019,ICTCPT,,F,,PT,53.0
2024,ICTCPT,,F,ES211,PT,48.7
2019,ICTCPT,,F,ES211,PT,51.7
2023,ICTCPT,,F,ES211,PT,55.5
2021,ICTCPT,,F,ES211,PT,59.5
2020,ICTCPT,,F,ES211,PT,53.8
2022,ICTCPT,,F,ES211,PT,57.6
2020,ICTCPT,,F,ES213,PT,51.2
2024,ICTCPT,,F,ES213,PT,50.1
2022,ICTCPT,,F,ES213,PT,55.3
2021,ICTCPT,,F,ES213,PT,59.5
2019,ICTCPT,,F,ES213,PT,53.1
2023,ICTCPT,,F,ES213,PT,55.2
2020,ICTCPT,,F,ES212,PT,57.0
2024,ICTCPT,,F,ES212,PT,49.6
2019,ICTCPT,,F,ES212,PT,53.6
2021,ICTCPT,,F,ES212,PT,61.8
2022,ICTCPT,,F,ES212,PT,57.9
2023,ICTCPT,,F,ES212,PT,57.1
2020,ICTCPT,,M,,PT,57.3
2024,ICTCPT,,M,,PT,52.4
2019,ICTCPT,,M,,PT,57.8
2021,ICTCPT,,M,,PT,62.7
2023,ICTCPT,,M,,PT,56.7
2022,ICTCPT,,M,,PT,57.9
2022,ICTCPT,,M,ES211,PT,55.9
2021,ICTCPT,,M,ES211,PT,64.3
2019,ICTCPT,,M,ES211,PT,60.0
2024,ICTCPT,,M,ES211,PT,55.3
2023,ICTCPT,,M,ES211,PT,54.1
2020,ICTCPT,,M,ES211,PT,54.3
2019,ICTCPT,,M,ES213,PT,58.6
2024,ICTCPT,,M,ES213,PT,52.3
2021,ICTCPT,,M,ES213,PT,63.8
2023,ICTCPT,,M,ES213,PT,57.0
2022,ICTCPT,,M,ES213,PT,58.1
2020,ICTCPT,,M,ES213,PT,57.5
2022,ICTCPT,,M,ES212,PT,58.7
2023,ICTCPT,,M,ES212,PT,57.4
2021,ICTCPT,,M,ES212,PT,60.2
2024,ICTCPT,,M,ES212,PT,51.1
2019,ICTCPT,,M,ES212,PT,55.4
2020,ICTCPT,,M,ES212,PT,58.4
2021,ICTCPT,Y16T24,,,PT,86.6
2020,ICTCPT,Y16T24,,,PT,86.6
2024,ICTCPT,Y16T24,,,PT,81.4
2019,ICTCPT,Y16T24,,,PT,89.4
2023,ICTCPT,Y16T24,,,PT,89.1
2022,ICTCPT,Y16T24,,,PT,87.4
2019,ICTCPT,Y16T24,,ES211,PT,91.1
2020,ICTCPT,Y16T24,,ES211,PT,80.6
2024,ICTCPT,Y16T24,,ES211,PT,86.7
2023,ICTCPT,Y16T24,,ES211,PT,94.8
2021,ICTCPT,Y16T24,,ES211,PT,85.7
2022,ICTCPT,Y16T24,,ES211,PT,82.6
2021,ICTCPT,Y16T24,,ES213,PT,87.2
2023,ICTCPT,Y16T24,,ES213,PT,87.1
2022,ICTCPT,Y16T24,,ES213,PT,88.1
2024,ICTCPT,Y16T24,,ES213,PT,81.2
2019,ICTCPT,Y16T24,,ES213,PT,90.0
2020,ICTCPT,Y16T24,,ES213,PT,83.3
2019,ICTCPT,Y16T24,,ES212,PT,87.9
2023,ICTCPT,Y16T24,,ES212,PT,89.5
2020,ICTCPT,Y16T24,,ES212,PT,94.1
2021,ICTCPT,Y16T24,,ES212,PT,86.1
2022,ICTCPT,Y16T24,,ES212,PT,88.4
2024,ICTCPT,Y16T24,,ES212,PT,79.5
2023,ICTCPT,Y16T24,F,,PT,92.9
2020,ICTCPT,Y16T24,F,,PT,88.0
2022,ICTCPT,Y16T24,F,,PT,89.6
2021,ICTCPT,Y16T24,F,,PT,85.6
2024,ICTCPT,Y16T24,F,,PT,83.0
2019,ICTCPT,Y16T24,F,,PT,93.7
2024,ICTCPT,Y16T24,F,ES211,PT,91.2
2023,ICTCPT,Y16T24,F,ES211,PT,96.8
2022,ICTCPT,Y16T24,F,ES211,PT,91.4
2019,ICTCPT,Y16T24,F,ES211,PT,91.8
2021,ICTCPT,Y16T24,F,ES211,PT,86.5
2020,ICTCPT,Y16T24,F,ES211,PT,80.8
2022,ICTCPT,Y16T24,F,ES213,PT,90.4
2024,ICTCPT,Y16T24,F,ES213,PT,82.1
2021,ICTCPT,Y16T24,F,ES213,PT,84.9
2023,ICTCPT,Y16T24,F,ES213,PT,90.4
2019,ICTCPT,Y16T24,F,ES213,PT,93.0
2020,ICTCPT,Y16T24,F,ES213,PT,85.0
2024,ICTCPT,Y16T24,F,ES212,PT,80.9
2019,ICTCPT,Y16T24,F,ES212,PT,95.6
2021,ICTCPT,Y16T24,F,ES212,PT,86.2
2020,ICTCPT,Y16T24,F,ES212,PT,95.6
2023,ICTCPT,Y16T24,F,ES212,PT,95.1
2022,ICTCPT,Y16T24,F,ES212,PT,87.4
2023,ICTCPT,Y16T24,M,,PT,85.6
2021,ICTCPT,Y16T24,M,,PT,87.5
2020,ICTCPT,Y16T24,M,,PT,85.2
2024,ICTCPT,Y16T24,M,,PT,79.9
2022,ICTCPT,Y16T24,M,,PT,85.4
2019,ICTCPT,Y16T24,M,,PT,85.1
2022,ICTCPT,Y16T24,M,ES211,PT,74.0
2023,ICTCPT,Y16T24,M,ES211,PT,93.3
2021,ICTCPT,Y16T24,M,ES211,PT,85.0
2020,ICTCPT,Y16T24,M,ES211,PT,80.5
2024,ICTCPT,Y16T24,M,ES211,PT,82.4
2019,ICTCPT,Y16T24,M,ES211,PT,90.2
2023,ICTCPT,Y16T24,M,ES213,PT,83.9
2022,ICTCPT,Y16T24,M,ES213,PT,85.8
2020,ICTCPT,Y16T24,M,ES213,PT,81.7
2019,ICTCPT,Y16T24,M,ES213,PT,87.1
2024,ICTCPT,Y16T24,M,ES213,PT,80.4
2021,ICTCPT,Y16T24,M,ES213,PT,89.5
2024,ICTCPT,Y16T24,M,ES212,PT,78.3
2022,ICTCPT,Y16T24,M,ES212,PT,89.4
2023,ICTCPT,Y16T24,M,ES212,PT,84.1
2019,ICTCPT,Y16T24,M,ES212,PT,80.5
2021,ICTCPT,Y16T24,M,ES212,PT,86.0
2020,ICTCPT,Y16T24,M,ES212,PT,92.7
2022,ICTCPT,Y25T74,,,PT,53.2
2020,ICTCPT,Y25T74,,,PT,51.5
2021,ICTCPT,Y25T74,,,PT,58.1
2024,ICTCPT,Y25T74,,,PT,46.8
2023,ICTCPT,Y25T74,,,PT,51.9
2019,ICTCPT,Y25T74,,,PT,51.5
2024,ICTCPT,Y25T74,,ES211,PT,47.3
2023,ICTCPT,Y25T74,,ES211,PT,49.3
2021,ICTCPT,Y25T74,,ES211,PT,58.7
2019,ICTCPT,Y25T74,,ES211,PT,51.8
2022,ICTCPT,Y25T74,,ES211,PT,53.6
2020,ICTCPT,Y25T74,,ES211,PT,50.7
2021,ICTCPT,Y25T74,,ES213,PT,58.4
2023,ICTCPT,Y25T74,,ES213,PT,52.1
2019,ICTCPT,Y25T74,,ES213,PT,52.2
2020,ICTCPT,Y25T74,,ES213,PT,50.9
2024,ICTCPT,Y25T74,,ES213,PT,47.2
2022,ICTCPT,Y25T74,,ES213,PT,52.6
2021,ICTCPT,Y25T74,,ES212,PT,57.4
2019,ICTCPT,Y25T74,,ES212,PT,50.3
2022,ICTCPT,Y25T74,,ES212,PT,54.1
2024,ICTCPT,Y25T74,,ES212,PT,45.9
2020,ICTCPT,Y25T74,,ES212,PT,52.9
2023,ICTCPT,Y25T74,,ES212,PT,52.8
2022,ICTCPT,Y25T74,F,,PT,52.3
2021,ICTCPT,Y25T74,F,,PT,57.1
2019,ICTCPT,Y25T74,F,,PT,48.5
2020,ICTCPT,Y25T74,F,,PT,49.4
2024,ICTCPT,Y25T74,F,,PT,45.5
2023,ICTCPT,Y25T74,F,,PT,51.2
2024,ICTCPT,Y25T74,F,ES211,PT,43.2
2020,ICTCPT,Y25T74,F,ES211,PT,50.7
2021,ICTCPT,Y25T74,F,ES211,PT,56.3
2019,ICTCPT,Y25T74,F,ES211,PT,46.9
2023,ICTCPT,Y25T74,F,ES211,PT,50.6
2022,ICTCPT,Y25T74,F,ES211,PT,53.6
2024,ICTCPT,Y25T74,F,ES213,PT,46.3
2019,ICTCPT,Y25T74,F,ES213,PT,48.9
2022,ICTCPT,Y25T74,F,ES213,PT,51.0
2020,ICTCPT,Y25T74,F,ES213,PT,47.3
2021,ICTCPT,Y25T74,F,ES213,PT,56.3
2023,ICTCPT,Y25T74,F,ES213,PT,50.9
2019,ICTCPT,Y25T74,F,ES212,PT,48.5
2023,ICTCPT,Y25T74,F,ES212,PT,51.9
2021,ICTCPT,Y25T74,F,ES212,PT,58.7
2024,ICTCPT,Y25T74,F,ES212,PT,45.2
2022,ICTCPT,Y25T74,F,ES212,PT,53.9
2020,ICTCPT,Y25T74,F,ES212,PT,52.2
2023,ICTCPT,Y25T74,M,,PT,52.6
2024,ICTCPT,Y25T74,M,,PT,48.2
2020,ICTCPT,Y25T74,M,,PT,53.7
2022,ICTCPT,Y25T74,M,,PT,54.2
2021,ICTCPT,Y25T74,M,,PT,59.2
2019,ICTCPT,Y25T74,M,,PT,54.6
2019,ICTCPT,Y25T74,M,ES211,PT,56.8
2023,ICTCPT,Y25T74,M,ES211,PT,47.9
2022,ICTCPT,Y25T74,M,ES211,PT,53.7
2020,ICTCPT,Y25T74,M,ES211,PT,50.7
2021,ICTCPT,Y25T74,M,ES211,PT,61.2
2024,ICTCPT,Y25T74,M,ES211,PT,51.5
2024,ICTCPT,Y25T74,M,ES213,PT,48.2
2020,ICTCPT,Y25T74,M,ES213,PT,54.5
2019,ICTCPT,Y25T74,M,ES213,PT,55.6
2021,ICTCPT,Y25T74,M,ES213,PT,60.5
2023,ICTCPT,Y25T74,M,ES213,PT,53.4
2022,ICTCPT,Y25T74,M,ES213,PT,54.3
2023,ICTCPT,Y25T74,M,ES212,PT,53.6
2021,ICTCPT,Y25T74,M,ES212,PT,56.1
2019,ICTCPT,Y25T74,M,ES212,PT,52.1
2024,ICTCPT,Y25T74,M,ES212,PT,46.6
2022,ICTCPT,Y25T74,M,ES212,PT,54.2
2020,ICTCPT,Y25T74,M,ES212,PT,53.7
2019,ICTPST,,,,PT,42.2
2023,ICTPST,,,,PT,41.1
2020,ICTPST,,,,PT,45.0
2021,ICTPST,,,,PT,46.0
2022,ICTPST,,,,PT,42.3
2024,ICTPST,,,,PT,40.0
2023,ICTPST,,,ES211,PT,38.4
2021,ICTPST,,,ES211,PT,46.6
2024,ICTPST,,,ES211,PT,38.1
2022,ICTPST,,,ES211,PT,43.5
2020,ICTPST,,,ES211,PT,43.0
2019,ICTPST,,,ES211,PT,41.8
2023,ICTPST,,,ES213,PT,40.7
2021,ICTPST,,,ES213,PT,46.1
2022,ICTPST,,,ES213,PT,41.9
2024,ICTPST,,,ES213,PT,40.6
2020,ICTPST,,,ES213,PT,45.1
2019,ICTPST,,,ES213,PT,42.4
2019,ICTPST,,,ES212,PT,42.2
2024,ICTPST,,,ES212,PT,40.0
2020,ICTPST,,,ES212,PT,45.7
2022,ICTPST,,,ES212,PT,42.3
2023,ICTPST,,,ES212,PT,42.9
2021,ICTPST,,,ES212,PT,45.4
2020,ICTPST,,F,,PT,44.5
2021,ICTPST,,F,,PT,45.1
2023,ICTPST,,F,,PT,41.8
2019,ICTPST,,F,,PT,41.7
2024,ICTPST,,F,,PT,38.6
2022,ICTPST,,F,,PT,42.9
2023,ICTPST,,F,ES211,PT,39.6
2022,ICTPST,,F,ES211,PT,44.3
2024,ICTPST,,F,ES211,PT,35.8
2021,ICTPST,,F,ES211,PT,44.9
2020,ICTPST,,F,ES211,PT,42.4
2019,ICTPST,,F,ES211,PT,42.9
2023,ICTPST,,F,ES213,PT,42.1
2024,ICTPST,,F,ES213,PT,39.8
2021,ICTPST,,F,ES213,PT,43.9
2022,ICTPST,,F,ES213,PT,42.1
2019,ICTPST,,F,ES213,PT,40.6
2020,ICTPST,,F,ES213,PT,43.9
2021,ICTPST,,F,ES212,PT,47.0
2024,ICTPST,,F,ES212,PT,37.8
2023,ICTPST,,F,ES212,PT,42.3
2019,ICTPST,,F,ES212,PT,43.0
2020,ICTPST,,F,ES212,PT,46.5
2022,ICTPST,,F,ES212,PT,43.7
2023,ICTPST,,M,,PT,40.3
2020,ICTPST,,M,,PT,45.5
2024,ICTPST,,M,,PT,41.5
2022,ICTPST,,M,,PT,41.7
2021,ICTPST,,M,,PT,46.8
2019,ICTPST,,M,,PT,42.7
2021,ICTPST,,M,ES211,PT,48.3
2022,ICTPST,,M,ES211,PT,42.7
2019,ICTPST,,M,ES211,PT,40.6
2023,ICTPST,,M,ES211,PT,37.2
2020,ICTPST,,M,ES211,PT,43.6
2024,ICTPST,,M,ES211,PT,40.4
2021,ICTPST,,M,ES213,PT,48.4
2019,ICTPST,,M,ES213,PT,44.2
2024,ICTPST,,M,ES213,PT,41.5
2023,ICTPST,,M,ES213,PT,39.2
2022,ICTPST,,M,ES213,PT,41.8
2020,ICTPST,,M,ES213,PT,46.3
2019,ICTPST,,M,ES212,PT,41.4
2023,ICTPST,,M,ES212,PT,43.5
2024,ICTPST,,M,ES212,PT,42.2
2021,ICTPST,,M,ES212,PT,43.7
2022,ICTPST,,M,ES212,PT,40.9
2020,ICTPST,,M,ES212,PT,45.0
2021,ICTPST,Y16T24,,,PT,82.8
2020,ICTPST,Y16T24,,,PT,86.4
2023,ICTPST,Y16T24,,,PT,83.5
2024,ICTPST,Y16T24,,,PT,79.5
2019,ICTPST,Y16T24,,,PT,85.3
2022,ICTPST,Y16T24,,,PT,81.3
2020,ICTPST,Y16T24,,ES211,PT,78.9
2024,ICTPST,Y16T24,,ES211,PT,85.2
2019,ICTPST,Y16T24,,ES211,PT,89.2
2022,ICTPST,Y16T24,,ES211,PT,83.7
2023,ICTPST,Y16T24,,ES211,PT,83.6
2021,ICTPST,Y16T24,,ES211,PT,77.0
2019,ICTPST,Y16T24,,ES213,PT,88.1
2020,ICTPST,Y16T24,,ES213,PT,86.6
2021,ICTPST,Y16T24,,ES213,PT,83.3
2023,ICTPST,Y16T24,,ES213,PT,82.0
2022,ICTPST,Y16T24,,ES213,PT,82.7
2024,ICTPST,Y16T24,,ES213,PT,74.8
2023,ICTPST,Y16T24,,ES212,PT,85.7
2022,ICTPST,Y16T24,,ES212,PT,78.2
2020,ICTPST,Y16T24,,ES212,PT,89.6
2019,ICTPST,Y16T24,,ES212,PT,79.9
2024,ICTPST,Y16T24,,ES212,PT,83.7
2021,ICTPST,Y16T24,,ES212,PT,84.7
2021,ICTPST,Y16T24,F,,PT,83.2
2020,ICTPST,Y16T24,F,,PT,86.5
2019,ICTPST,Y16T24,F,,PT,88.7
2024,ICTPST,Y16T24,F,,PT,86.5
2022,ICTPST,Y16T24,F,,PT,85.7
2023,ICTPST,Y16T24,F,,PT,90.3
2024,ICTPST,Y16T24,F,ES211,PT,93.1
2023,ICTPST,Y16T24,F,ES211,PT,92.2
2021,ICTPST,Y16T24,F,ES211,PT,83.9
2020,ICTPST,Y16T24,F,ES211,PT,74.8
2022,ICTPST,Y16T24,F,ES211,PT,94.0
2019,ICTPST,Y16T24,F,ES211,PT,89.8
2021,ICTPST,Y16T24,F,ES213,PT,80.2
2024,ICTPST,Y16T24,F,ES213,PT,84.0
2023,ICTPST,Y16T24,F,ES213,PT,88.7
2019,ICTPST,Y16T24,F,ES213,PT,90.7
2020,ICTPST,Y16T24,F,ES213,PT,87.6
2022,ICTPST,Y16T24,F,ES213,PT,84.3
2024,ICTPST,Y16T24,F,ES212,PT,87.3
2023,ICTPST,Y16T24,F,ES212,PT,91.7
2021,ICTPST,Y16T24,F,ES212,PT,87.5
2020,ICTPST,Y16T24,F,ES212,PT,90.0
2019,ICTPST,Y16T24,F,ES212,PT,85.4
2022,ICTPST,Y16T24,F,ES212,PT,84.4
2019,ICTPST,Y16T24,M,,PT,81.9
2020,ICTPST,Y16T24,M,,PT,86.4
2022,ICTPST,Y16T24,M,,PT,77.0
2021,ICTPST,Y16T24,M,,PT,82.5
2023,ICTPST,Y16T24,M,,PT,77.2
2024,ICTPST,Y16T24,M,,PT,73.2
2020,ICTPST,Y16T24,M,ES211,PT,82.5
2023,ICTPST,Y16T24,M,ES211,PT,76.9
2021,ICTPST,Y16T24,M,ES211,PT,71.4
2019,ICTPST,Y16T24,M,ES211,PT,88.5
2024,ICTPST,Y16T24,M,ES211,PT,77.8
2022,ICTPST,Y16T24,M,ES211,PT,73.5
2022,ICTPST,Y16T24,M,ES213,PT,81.1
2021,ICTPST,Y16T24,M,ES213,PT,86.3
2020,ICTPST,Y16T24,M,ES213,PT,85.8
2019,ICTPST,Y16T24,M,ES213,PT,85.5
2024,ICTPST,Y16T24,M,ES213,PT,66.6
2023,ICTPST,Y16T24,M,ES213,PT,75.5
2024,ICTPST,Y16T24,M,ES212,PT,80.5
2022,ICTPST,Y16T24,M,ES212,PT,72.4
2020,ICTPST,Y16T24,M,ES212,PT,89.2
2019,ICTPST,Y16T24,M,ES212,PT,74.7
2021,ICTPST,Y16T24,M,ES212,PT,82.4
2023,ICTPST,Y16T24,M,ES212,PT,79.9
2019,ICTPST,Y25T74,,,PT,37.4
2022,ICTPST,Y25T74,,,PT,37.2
2020,ICTPST,Y25T74,,,PT,39.9
2024,ICTPST,Y25T74,,,PT,34.5
2021,ICTPST,Y25T74,,,PT,41.0
2023,ICTPST,Y25T74,,,PT,35.4
2023,ICTPST,Y25T74,,ES211,PT,32.1
2019,ICTPST,Y25T74,,ES211,PT,36.4
2020,ICTPST,Y25T74,,ES211,PT,38.5
2021,ICTPST,Y25T74,,ES211,PT,42.5
2024,ICTPST,Y25T74,,ES211,PT,31.7
2022,ICTPST,Y25T74,,ES211,PT,38.7
2023,ICTPST,Y25T74,,ES213,PT,35.5
2021,ICTPST,Y25T74,,ES213,PT,41.4
2020,ICTPST,Y25T74,,ES213,PT,40.2
2019,ICTPST,Y25T74,,ES213,PT,37.6
2022,ICTPST,Y25T74,,ES213,PT,36.6
2024,ICTPST,Y25T74,,ES213,PT,36.0
2021,ICTPST,Y25T74,,ES212,PT,39.7
2023,ICTPST,Y25T74,,ES212,PT,36.9
2020,ICTPST,Y25T74,,ES212,PT,40.0
2024,ICTPST,Y25T74,,ES212,PT,33.3
2022,ICTPST,Y25T74,,ES212,PT,37.3
2019,ICTPST,Y25T74,,ES212,PT,37.5
2023,ICTPST,Y25T74,F,,PT,35.7
2021,ICTPST,Y25T74,F,,PT,40.3
2022,ICTPST,Y25T74,F,,PT,37.5
2020,ICTPST,Y25T74,F,,PT,39.6
2019,ICTPST,Y25T74,F,,PT,36.5
2024,ICTPST,Y25T74,F,,PT,32.4
2024,ICTPST,Y25T74,F,ES211,PT,28.5
2023,ICTPST,Y25T74,F,ES211,PT,33.3
2021,ICTPST,Y25T74,F,ES211,PT,40.2
2019,ICTPST,Y25T74,F,ES211,PT,37.2
2020,ICTPST,Y25T74,F,ES211,PT,38.7
2022,ICTPST,Y25T74,F,ES211,PT,38.5
2020,ICTPST,Y25T74,F,ES213,PT,39.0
2024,ICTPST,Y25T74,F,ES213,PT,34.4
2023,ICTPST,Y25T74,F,ES213,PT,36.5
2022,ICTPST,Y25T74,F,ES213,PT,36.8
2019,ICTPST,Y25T74,F,ES213,PT,35.5
2021,ICTPST,Y25T74,F,ES213,PT,39.4
2019,ICTPST,Y25T74,F,ES212,PT,37.9
2020,ICTPST,Y25T74,F,ES212,PT,41.1
2023,ICTPST,Y25T74,F,ES212,PT,35.6
2022,ICTPST,Y25T74,F,ES212,PT,38.2
2021,ICTPST,Y25T74,F,ES212,PT,41.8
2024,ICTPST,Y25T74,F,ES212,PT,30.9
2023,ICTPST,Y25T74,M,,PT,35.1
2021,ICTPST,Y25T74,M,,PT,41.7
2020,ICTPST,Y25T74,M,,PT,40.1
2019,ICTPST,Y25T74,M,,PT,38.3
2024,ICTPST,Y25T74,M,,PT,36.7
2022,ICTPST,Y25T74,M,,PT,36.8
2019,ICTPST,Y25T74,M,ES211,PT,35.5
2021,ICTPST,Y25T74,M,ES211,PT,44.8
2023,ICTPST,Y25T74,M,ES211,PT,30.9
2024,ICTPST,Y25T74,M,ES211,PT,35.1
2022,ICTPST,Y25T74,M,ES211,PT,39.0
2020,ICTPST,Y25T74,M,ES211,PT,38.3
2024,ICTPST,Y25T74,M,ES213,PT,37.8
2022,ICTPST,Y25T74,M,ES213,PT,36.4
2021,ICTPST,Y25T74,M,ES213,PT,43.4
2020,ICTPST,Y25T74,M,ES213,PT,41.4
2019,ICTPST,Y25T74,M,ES213,PT,39.7
2023,ICTPST,Y25T74,M,ES213,PT,34.4
2024,ICTPST,Y25T74,M,ES212,PT,35.8
2023,ICTPST,Y25T74,M,ES212,PT,38.3
2022,ICTPST,Y25T74,M,ES212,PT,36.3
2021,ICTPST,Y25T74,M,ES212,PT,37.5
2020,ICTPST,Y25T74,M,ES212,PT,38.9
2019,ICTPST,Y25T74,M,ES212,PT,37.2
2022,ICTPRGM,,,,PT,5.3
2021,ICTPRGM,,,,PT,5.3
2019,ICTPRGM,,,,PT,5.6
2023,ICTPRGM,,,,PT,6.2
2024,ICTPRGM,,,,PT,4.5
2020,ICTPRGM,,,,PT,5.7
2020,ICTPRGM,,,ES211,PT,5.7
2019,ICTPRGM,,,ES211,PT,5.3
2022,ICTPRGM,,,ES211,PT,4.7
2021,ICTPRGM,,,ES211,PT,5.7
2024,ICTPRGM,,,ES211,PT,3.7
2023,ICTPRGM,,,ES211,PT,4.3
2020,ICTPRGM,,,ES213,PT,5.7
2023,ICTPRGM,,,ES213,PT,6.9
2021,ICTPRGM,,,ES213,PT,5.2
2019,ICTPRGM,,,ES213,PT,5.8
