Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2016,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,77.02
2020,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,69.36
2018,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,93.02
2023,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,91.36
2020,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,117.81
2022,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,110.48
2010,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,102.27
2021,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,87.93
2015,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,71.84
2018,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,109.51
2016,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,131.32
2014,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,73.0
2012,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,65.24
2023,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,105.32
2019,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,87.75
2011,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,78.47
2013,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,90.63
2017,EU_XPD_LOCALGBPC,,,ES20016,PT,ES20016,83.8
2023,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,103.63
2014,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,102.83
2012,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,108.54
2021,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,95.68
2010,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,90.33
2019,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,82.54
2015,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,98.57
2018,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,80.24
2016,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,85.77
2020,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,87.93
2011,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,94.91
2013,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,91.73
2022,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,85.96
2017,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,72.13
2018,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,121.79
2022,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,110.21
2021,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,112.08
2014,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,122.79
2019,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,79.66
2016,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,121.62
2011,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,117.34
2013,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,83.47
2020,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,80.61
2010,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,77.42
2017,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,82.2
2015,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,117.83
2023,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,102.26
2012,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,85.02
2011,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,119.62
2014,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,91.04
2017,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,124.91
2015,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,170.86
2012,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,107.1
2013,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,111.91
2020,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,100.68
2021,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,111.86
2022,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,136.39
2016,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,105.15
2019,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,111.27
2010,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,141.27
2018,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,109.42
2023,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,83.63
2018,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,125.06
2021,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,114.77
2014,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,105.17
2010,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,95.89
2016,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,95.6
2013,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,103.7
2012,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,93.99
2019,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,94.13
2017,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,127.18
2015,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,113.51
2011,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,99.18
2023,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,88.79
2022,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,94.88
2020,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,84.8
2013,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,79.92
2017,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,72.53
2019,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,86.44
2012,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,85.94
2023,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,81.97
2021,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,52.09
2018,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,105.87
2016,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,93.39
2011,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,84.32
2015,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,103.17
2010,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,111.59
2020,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,91.86
2022,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,54.78
2014,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,83.02
2022,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,79.44
2021,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,101.3
2023,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,119.12
2012,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,77.96
2014,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,97.93
2019,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,79.59
2010,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,97.9
2015,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,97.72
2018,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,101.96
2016,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,112.05
2017,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,94.44
2011,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,90.01
2020,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,101.57
2013,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,94.06
2019,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,97.29
2023,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,115.66
2014,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,104.54
2011,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,82.74
2013,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,103.16
2012,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,111.24
2020,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,103.49
2010,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,103.28
2016,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,106.37
2017,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,115.21
2022,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,125.08
2015,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,95.08
2021,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,116.02
2018,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,125.82
2010,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,97.25
2016,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,103.37
2020,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,65.28
2013,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,79.12
2021,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,117.75
2012,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,113.79
2019,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,86.54
2022,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,100.42
2017,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,42.28
2023,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,71.41
2018,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,129.31
2015,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,113.51
2014,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,101.83
2011,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,105.24
2020,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,99.48
2010,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,156.0
2011,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,94.99
2014,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,86.95
2016,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,95.93
2015,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,105.45
2018,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,148.61
2022,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,115.0
2021,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,146.41
2023,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,197.9
2013,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,91.09
2017,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,151.2
2012,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,123.95
2019,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,118.58
2012,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,101.91
2011,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,145.65
2013,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,121.27
2016,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,92.66
2019,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,90.39
2014,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,105.55
2017,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,125.35
2015,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,115.38
2020,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,102.86
2023,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,108.72
2018,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,114.69
2021,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,116.22
2010,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,80.5
2022,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,84.75
2017,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,89.32
2016,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,94.81
2023,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,96.47
2019,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,96.31
2014,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,105.44
2013,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,93.78
2011,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,92.65
2012,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,92.66
2022,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,101.59
2021,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,92.45
2020,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,91.04
2015,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,91.69
2010,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,112.82
2018,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,101.06
2010,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,88.93
2016,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,99.48
2022,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,68.53
2017,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,95.8
2023,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,69.96
2021,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,85.92
2013,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,93.23
2019,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,75.34
2014,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,83.76
2011,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,118.12
2020,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,106.37
2015,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,95.62
2018,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,79.53
2012,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,97.44
2012,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,79.96
2021,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,91.41
2010,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,81.29
2023,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,63.43
2017,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,92.4
2019,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,77.55
2020,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,78.62
2022,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,84.48
2015,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,88.67
2016,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,85.32
2013,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,83.33
2011,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,78.16
2014,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,87.08
2018,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,81.93
2011,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,104.37
2016,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,101.6
