Year,Units,Value
2012,PT,26.2
2014,PT,27.2
2015,PT,27.3
2016,PT,27.0
2017,PT,26.8
2018,PT,27.1
2019,PT,27.7
2020,PT,27.4
2021,PT,26.7
2022,PT,25.7
2023,PT,25.7
