Year,Series,Units,Value
2011,EN_ATM_CO2GDP,KG_CO2_PER_GDP_EUR,0.2
2014,EN_ATM_CO2GDP,KG_CO2_PER_GDP_EUR,0.19
2017,EN_ATM_CO2GDP,KG_CO2_PER_GDP_EUR,0.19
2020,EN_ATM_CO2GDP,KG_CO2_PER_GDP_EUR,0.18
2010,EN_ATM_CO2GDP,KG_CO2_PER_GDP_EUR,0.22
2022,EN_ATM_CO2GDP,KG_CO2_PER_GDP_EUR,0.18
2015,EN_ATM_CO2GDP,KG_CO2_PER_GDP_EUR,0.19
2016,EN_ATM_CO2GDP,KG_CO2_PER_GDP_EUR,0.18
2021,EN_ATM_CO2GDP,KG_CO2_PER_GDP_EUR,0.18
2018,EN_ATM_CO2GDP,KG_CO2_PER_GDP_EUR,0.18
2012,EN_ATM_CO2GDP,KG_CO2_PER_GDP_EUR,0.21
2019,EN_ATM_CO2GDP,KG_CO2_PER_GDP_EUR,0.18
2013,EN_ATM_CO2GDP,KG_CO2_PER_GDP_EUR,0.2
2010,EN_ATM_CO2MVA,KG_CO2_PER_GDP_EUR,0.49
2011,EN_ATM_CO2MVA,KG_CO2_PER_GDP_EUR,0.45
2012,EN_ATM_CO2MVA,KG_CO2_PER_GDP_EUR,0.45
2013,EN_ATM_CO2MVA,KG_CO2_PER_GDP_EUR,0.47
2014,EN_ATM_CO2MVA,KG_CO2_PER_GDP_EUR,0.47
2015,EN_ATM_CO2MVA,KG_CO2_PER_GDP_EUR,0.45
2016,EN_ATM_CO2MVA,KG_CO2_PER_GDP_EUR,0.44
2017,EN_ATM_CO2MVA,KG_CO2_PER_GDP_EUR,0.43
2018,EN_ATM_CO2MVA,KG_CO2_PER_GDP_EUR,0.41
2019,EN_ATM_CO2MVA,KG_CO2_PER_GDP_EUR,0.4
2020,EN_ATM_CO2MVA,KG_CO2_PER_GDP_EUR,0.4
2021,EN_ATM_CO2MVA,KG_CO2_PER_GDP_EUR,0.41
2022,EN_ATM_CO2MVA,KG_CO2_PER_GDP_EUR,0.38
