Year,Units,Value
2010,IX,-17.17
2011,IX,-25.87
2012,IX,-21.6
2013,IX,-28.55
2014,IX,-29.25
2015,IX,-27.83
2016,IX,-27.99
2017,IX,-24.71
2018,IX,-26.91
2019,IX,-23.13
2020,IX,-32.28
2021,IX,-26.72
2022,IX,-21.55
2023,IX,-32.46
