Year,Series,Units,Value
2014,AG_LND_FRSTMGT_HA,HA,78025.0
2018,AG_LND_FRSTMGT_HA,HA,92935.0
2011,AG_LND_FRSTMGT_HA,HA,70847.0
2012,AG_LND_FRSTMGT_HA,HA,70847.0
2019,AG_LND_FRSTMGT_HA,HA,95091.0
2020,AG_LND_FRSTMGT_HA,HA,98696.0
2016,AG_LND_FRSTMGT_HA,HA,85839.0
2013,AG_LND_FRSTMGT_HA,HA,71709.0
2017,AG_LND_FRSTMGT_HA,HA,91153.0
2015,AG_LND_FRSTMGT_HA,HA,78208.0
2021,AG_LND_FRSTMGT_HA,HA,101165.0
2011,AG_LND_FRSTMGT,PT,14.28
2014,AG_LND_FRSTMGT,PT,15.87
2021,AG_LND_FRSTMGT,PT,20.7
2018,AG_LND_FRSTMGT,PT,18.9
2019,AG_LND_FRSTMGT,PT,19.34
2012,AG_LND_FRSTMGT,PT,14.41
2015,AG_LND_FRSTMGT,PT,15.9
2016,AG_LND_FRSTMGT,PT,17.45
2020,AG_LND_FRSTMGT,PT,20.07
2017,AG_LND_FRSTMGT,PT,18.54
2013,AG_LND_FRSTMGT,PT,14.58
