Year,Series,Sexo,Territorio,Units,Value
2013,SL_EMP_FTLINJUR,,,PER_100000_EMP,3.8
2021,SL_EMP_FTLINJUR,,,PER_100000_EMP,3.7
2018,SL_EMP_FTLINJUR,,,PER_100000_EMP,4.0
2019,SL_EMP_FTLINJUR,,,PER_100000_EMP,3.2
2017,SL_EMP_FTLINJUR,,,PER_100000_EMP,3.5
2016,SL_EMP_FTLINJUR,,,PER_100000_EMP,4.4
2022,SL_EMP_FTLINJUR,,,PER_100000_EMP,3.1
2015,SL_EMP_FTLINJUR,,,PER_100000_EMP,3.7
2020,SL_EMP_FTLINJUR,,,PER_100000_EMP,2.9
2014,SL_EMP_FTLINJUR,,,PER_100000_EMP,3.4
2024,SL_EMP_FTLINJUR,,,PER_100000_EMP,2.7
2023,SL_EMP_FTLINJUR,,,PER_100000_EMP,3.1
2016,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,3.7
2022,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,3.5
2023,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,3.4
2017,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,2.2
2021,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,6.9
2013,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,3.8
2019,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,4.8
2014,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,3.0
2015,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,2.2
2018,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,4.2
2024,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,2.7
2020,SL_EMP_FTLINJUR,,ES211,PER_100000_EMP,3.5
2014,SL_EMP_FTLINJUR,,ES213,PER_100000_EMP,3.3
2021,SL_EMP_FTLINJUR,,ES213,PER_100000_EMP,2.7
2017,SL_EMP_FTLINJUR,,ES213,PER_100000_EMP,3.6
2013,SL_EMP_FTLINJUR,,ES213,PER_100000_EMP,4.0
2016,SL_EMP_FTLINJUR,,ES213,PER_100000_EMP,5.8
2019,SL_EMP_FTLINJUR,,ES213,PER_100000_EMP,2.7
2022,SL_EMP_FTLINJUR,,ES213,PER_100000_EMP,2.0
2024,SL_EMP_FTLINJUR,,ES213,PER_100000_EMP,1.6
2018,SL_EMP_FTLINJUR,,ES213,PER_100000_EMP,4.6
