Year,Series,Sexo,Edad,Territorio,Units,Value
2023,SE_ADT_EDUCTRN,M,Y15T64,,PT,22.6
2020,SE_ADT_EDUCTRN,M,Y15T64,,PT,20.2
2017,SE_ADT_EDUCTRN,M,Y15T64,,PT,18.1
2014,SE_ADT_EDUCTRN,M,Y15T64,,PT,19.7
2021,SE_ADT_EDUCTRN,M,Y15T64,,PT,21.8
2024,SE_ADT_EDUCTRN,M,Y15T64,,PT,23.4
2016,SE_ADT_EDUCTRN,M,Y15T64,,PT,21.7
2012,SE_ADT_EDUCTRN,M,Y15T64,,PT,12.5
2015,SE_ADT_EDUCTRN,M,Y15T64,,PT,22.7
2013,SE_ADT_EDUCTRN,M,Y15T64,,PT,17.2
2023,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,22.2
2022,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,21.6
2021,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,22.2
2018,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,17.6
2013,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,18.0
2024,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,24.4
2014,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,23.1
2010,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,11.7
2011,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,10.4
2016,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,23.4
2015,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,22.5
2017,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,17.1
2019,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,19.0
2020,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,19.9
2012,SE_ADT_EDUCTRN,M,Y15T64,ES211,PT,10.5
2022,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,20.4
2014,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,18.9
2010,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,10.6
2012,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,12.5
2011,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,11.6
2013,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,16.9
2018,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,18.3
2016,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,20.9
2015,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,22.0
2017,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,18.9
2020,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,20.5
2019,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,20.1
2021,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,21.8
2023,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,23.0
2024,SE_ADT_EDUCTRN,M,Y15T64,ES213,PT,22.8
2016,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,22.2
2014,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,19.5
2018,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,18.1
2023,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,22.1
2013,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,17.1
2010,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,13.4
2011,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,13.7
2012,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,13.4
2017,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,17.2
2015,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,24.1
2020,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,19.7
2022,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,19.8
2024,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,23.8
2019,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,19.6
2021,SE_ADT_EDUCTRN,M,Y15T64,ES212,PT,21.6
2016,AES_EDUCTRN,M,Y18T64,,PT,48.1
2022,AES_EDUCTRN,M,Y18T64,,PT,51.0
2011,AES_EDUCTRN,M,Y18T64,,PT,42.5
2015,SE_ADT_EDUCTRN,M,Y25T64,,PT,13.9
2023,SE_ADT_EDUCTRN,M,Y25T64,,PT,11.8
2012,SE_ADT_EDUCTRN,M,Y25T64,,PT,3.1
2019,SE_ADT_EDUCTRN,M,Y25T64,,PT,9.6
2014,SE_ADT_EDUCTRN,M,Y25T64,,PT,11.0
2013,SE_ADT_EDUCTRN,M,Y25T64,,PT,8.8
2021,SE_ADT_EDUCTRN,M,Y25T64,,PT,11.3
2011,SE_ADT_EDUCTRN,M,Y25T64,,PT,3.1
2017,SE_ADT_EDUCTRN,M,Y25T64,,PT,8.4
2022,SE_ADT_EDUCTRN,M,Y25T64,,PT,10.0
2016,SE_ADT_EDUCTRN,M,Y25T64,,PT,12.5
2010,SE_ADT_EDUCTRN,M,Y25T64,,PT,2.5
2024,SE_ADT_EDUCTRN,M,Y25T64,,PT,12.3
2020,SE_ADT_EDUCTRN,M,Y25T64,,PT,9.5
2018,SE_ADT_EDUCTRN,M,Y25T64,,PT,7.8
2014,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,14.5
2020,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,10.0
2010,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,2.4
2024,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,14.3
2012,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,1.9
2016,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,14.9
2011,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,2.3
2013,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,9.8
2018,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,8.2
2015,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,14.6
2023,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,12.1
2017,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,8.4
2019,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,10.0
2022,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,12.3
2021,SE_ADT_EDUCTRN,M,Y25T64,ES211,PT,12.0
2018,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,8.0
2014,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,10.4
2012,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,2.7
2011,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,2.4
2013,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,8.4
2016,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,11.6
2015,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,13.0
2022,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,9.9
2017,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,9.0
2020,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,10.4
2019,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,10.0
2021,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,11.8
2024,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,12.2
2023,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,12.4
2010,SE_ADT_EDUCTRN,M,Y25T64,ES213,PT,1.7
2017,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,7.4
2013,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,8.9
2011,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,4.6
2010,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,3.7
2012,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,4.2
2015,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,15.0
2014,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,10.5
2021,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,10.3
2016,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,12.8
2019,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,8.7
2018,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,7.4
2020,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,7.9
2023,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,10.7
2022,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,9.0
2024,SE_ADT_EDUCTRN,M,Y25T64,ES212,PT,11.4
