Year,Units,Value
2007,MJ_PER_GDP_CON_PPP_USD,2.9
2008,MJ_PER_GDP_CON_PPP_USD,2.9
2009,MJ_PER_GDP_CON_PPP_USD,2.8
2010,MJ_PER_GDP_CON_PPP_USD,2.7
2011,MJ_PER_GDP_CON_PPP_USD,2.5
2012,MJ_PER_GDP_CON_PPP_USD,2.6
2013,MJ_PER_GDP_CON_PPP_USD,2.5
2014,MJ_PER_GDP_CON_PPP_USD,2.4
2015,MJ_PER_GDP_CON_PPP_USD,2.4
2016,MJ_PER_GDP_CON_PPP_USD,2.3
2017,MJ_PER_GDP_CON_PPP_USD,2.3
2018,MJ_PER_GDP_CON_PPP_USD,2.2
2019,MJ_PER_GDP_CON_PPP_USD,2.2
2020,MJ_PER_GDP_CON_PPP_USD,2.2
2021,MJ_PER_GDP_CON_PPP_USD,2.2
2022,MJ_PER_GDP_CON_PPP_USD,2.2
2023,MJ_PER_GDP_CON_PPP_USD,1.9
