Year,Series,Territorio,Units,Value
2018,FB_CBK_BRCH,,PER_100000,71.2
2012,FB_CBK_BRCH,,PER_100000,98.3
2016,FB_CBK_BRCH,,PER_100000,78.5
2022,FB_CBK_BRCH,,PER_100000,52.0
2014,FB_CBK_BRCH,,PER_100000,83.7
2011,FB_CBK_BRCH,,PER_100000,101.0
2021,FB_ATM_TOTL,,PER_100000,123.3
2023,FB_ATM_TOTL,,PER_100000,117.2
2023,FB_CBK_BRCH,,PER_100000,50.8
2022,FB_ATM_TOTL,,PER_100000,119.0
2013,FB_CBK_BRCH,,PER_100000,89.6
2019,FB_CBK_BRCH,,PER_100000,67.7
2021,FB_CBK_BRCH,,PER_100000,56.5
2024,FB_CBK_BRCH,,PER_100000,50.2
2020,FB_CBK_BRCH,,PER_100000,62.1
2024,FB_ATM_TOTL,,PER_100000,111.5
2017,FB_CBK_BRCH,,PER_100000,73.7
2015,FB_CBK_BRCH,,PER_100000,82.2
2010,FB_CBK_BRCH,,PER_100000,103.5
2021,FB_CBK_BRCH,ES211,PER_100000,58.6
2020,FB_CBK_BRCH,ES211,PER_100000,63.1
2021,FB_ATM_TOTL,ES211,PER_100000,109.6
2018,FB_CBK_BRCH,ES211,PER_100000,72.2
2023,FB_CBK_BRCH,ES211,PER_100000,53.0
2016,FB_CBK_BRCH,ES211,PER_100000,83.6
2022,FB_CBK_BRCH,ES211,PER_100000,54.1
2010,FB_CBK_BRCH,ES211,PER_100000,122.4
2011,FB_CBK_BRCH,ES211,PER_100000,117.6
2023,FB_ATM_TOTL,ES211,PER_100000,103.6
2024,FB_CBK_BRCH,ES211,PER_100000,52.2
2017,FB_CBK_BRCH,ES211,PER_100000,75.8
2014,FB_CBK_BRCH,ES211,PER_100000,93.7
2024,FB_ATM_TOTL,ES211,PER_100000,97.6
2015,FB_CBK_BRCH,ES211,PER_100000,91.6
2013,FB_CBK_BRCH,ES211,PER_100000,102.6
2012,FB_CBK_BRCH,ES211,PER_100000,114.3
2022,FB_ATM_TOTL,ES211,PER_100000,105.2
2019,FB_CBK_BRCH,ES211,PER_100000,68.5
2022,FB_ATM_TOTL,ES213,PER_100000,114.1
2013,FB_CBK_BRCH,ES213,PER_100000,85.9
2024,FB_CBK_BRCH,ES213,PER_100000,48.2
2012,FB_CBK_BRCH,ES213,PER_100000,96.1
2011,FB_CBK_BRCH,ES213,PER_100000,98.8
2022,FB_CBK_BRCH,ES213,PER_100000,50.2
2010,FB_CBK_BRCH,ES213,PER_100000,101.3
2023,FB_ATM_TOTL,ES213,PER_100000,111.9
2023,FB_CBK_BRCH,ES213,PER_100000,49.0
2019,FB_CBK_BRCH,ES213,PER_100000,65.8
2024,FB_ATM_TOTL,ES213,PER_100000,106.4
2015,FB_CBK_BRCH,ES213,PER_100000,78.4
2014,FB_CBK_BRCH,ES213,PER_100000,79.5
2017,FB_CBK_BRCH,ES213,PER_100000,70.9
2020,FB_CBK_BRCH,ES213,PER_100000,59.6
2016,FB_CBK_BRCH,ES213,PER_100000,75.3
2021,FB_CBK_BRCH,ES213,PER_100000,54.1
2021,FB_ATM_TOTL,ES213,PER_100000,116.1
2018,FB_CBK_BRCH,ES213,PER_100000,68.9
2013,FB_CBK_BRCH,ES212,PER_100000,89.7
2022,FB_CBK_BRCH,ES212,PER_100000,54.0
2015,FB_CBK_BRCH,ES212,PER_100000,84.3
2020,FB_CBK_BRCH,ES212,PER_100000,65.8
2019,FB_CBK_BRCH,ES212,PER_100000,70.6
2011,FB_CBK_BRCH,ES212,PER_100000,96.9
2010,FB_CBK_BRCH,ES212,PER_100000,98.7
2018,FB_CBK_BRCH,ES212,PER_100000,74.5
2021,FB_CBK_BRCH,ES212,PER_100000,59.4
2024,FB_ATM_TOTL,ES212,PER_100000,126.1
2023,FB_CBK_BRCH,ES212,PER_100000,52.6
2022,FB_ATM_TOTL,ES212,PER_100000,133.1
2017,FB_CBK_BRCH,ES212,PER_100000,77.3
2023,FB_ATM_TOTL,ES212,PER_100000,131.9
2016,FB_CBK_BRCH,ES212,PER_100000,81.2
2014,FB_CBK_BRCH,ES212,PER_100000,86.0
2021,FB_ATM_TOTL,ES212,PER_100000,141.1
2012,FB_CBK_BRCH,ES212,PER_100000,94.7
2024,FB_CBK_BRCH,ES212,PER_100000,52.4
