Year,Uso,Territorio,Units,Value
2022,H20_IND,ES212,M3,20955991.4
2023,H20_IND,ES212,M3,22757666.1
2021,H20_IND,ES212,M3,21567942.9
2024,H20_IND,ES212,M3,23682078.7
2017,H20_COM,,M3,11970086.0
2018,H20_COM,,M3,12219522.3
2024,H20_COM,,M3,10455903.9
2013,H20_COM,,M3,11740415.2
2016,H20_COM,,M3,12429023.2
2020,H20_COM,,M3,11253856.2
2021,H20_COM,,M3,10471436.0
2019,H20_COM,,M3,11666682.7
2023,H20_COM,,M3,9772381.2
2022,H20_COM,,M3,11060459.6
2024,H20_COM,ES211,M3,439134.9
2023,H20_COM,ES211,M3,119019.2
2022,H20_COM,ES211,M3,315629.0
2021,H20_COM,ES211,M3,307205.5
2023,H20_COM,ES213,M3,6283333.0
2024,H20_COM,ES213,M3,6093778.0
2022,H20_COM,ES213,M3,4746266.6
2021,H20_COM,ES213,M3,4743841.0
2022,H20_COM,ES212,M3,5998564.0
2021,H20_COM,ES212,M3,5420389.0
2023,H20_COM,ES212,M3,3370029.0
2024,H20_COM,ES212,M3,3922991.0
2024,H20_PUB,,M3,18499235.3
2018,H20_PUB,,M3,10356549.1
2017,H20_PUB,,M3,10650290.2
2021,H20_PUB,,M3,9263988.0
2016,H20_PUB,,M3,10427598.1
2019,H20_PUB,,M3,10440779.4
2013,H20_PUB,,M3,10687889.9
2022,H20_PUB,,M3,11010562.7
2023,H20_PUB,,M3,18438765.3
2020,H20_PUB,,M3,5047360.5
2024,H20_PUB,ES211,M3,3916667.8
2023,H20_PUB,ES211,M3,3766872.3
2022,H20_PUB,ES211,M3,4000563.8
2021,H20_PUB,ES211,M3,3068185.1
2021,H20_PUB,ES213,M3,4165676.5
2024,H20_PUB,ES213,M3,9710859.5
2023,H20_PUB,ES213,M3,9791675.0
2022,H20_PUB,ES213,M3,4162631.5
2021,H20_PUB,ES212,M3,2030126.5
2022,H20_PUB,ES212,M3,2847367.4
2024,H20_PUB,ES212,M3,4871708.0
2023,H20_PUB,ES212,M3,4880218.0
2024,H20_AGR,,M3,1954475.5
2016,H20_AGR,,M3,1127021.1
2013,H20_AGR,,M3,358850.4
2020,H20_AGR,,M3,2907569.7
2017,H20_AGR,,M3,1122869.4
2023,H20_AGR,,M3,2051068.7
2019,H20_AGR,,M3,1262937.4
